ID,Category,Prompt,GreenRange,YellowRange,RedRange,SimulatedValue,Status,Action
W-182,Tech Workforce,Weekly license renewal backlog (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.8,Red,Escalate to owner agent; launch corrective playbook.
W-183,Tech Workforce,Weekly productivity delta (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,65.9,Red,Escalate to owner agent; launch corrective playbook.
W-184,Tech Workforce,Weekly tech churn rate (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,71.9,Red,Escalate to owner agent; launch corrective playbook.
W-185,Tech Workforce,Weekly training compliance % (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,139.5,Red,Escalate to owner agent; launch corrective playbook.
W-186,Tech Workforce,Weekly low earner count (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,108.5,Green,Maintain course.
W-187,Tech Workforce,Weekly average earnings (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.0,Green,Maintain course.
W-188,Tech Workforce,Weekly license renewal backlog (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,128.8,Red,Escalate to owner agent; launch corrective playbook.
W-189,Tech Workforce,Weekly productivity delta (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,105.5,Green,Maintain course.
W-190,Tech Workforce,Weekly tech churn rate (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,135.8,Red,Escalate to owner agent; launch corrective playbook.
W-191,Tech Workforce,Weekly average earnings (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,81.2,Yellow,Investigate moderate deviation.
W-192,Tech Workforce,Weekly low earner count (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,79.2,Red,Escalate to owner agent; launch corrective playbook.
W-193,Tech Workforce,Weekly tech churn rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.0,Green,Maintain course.
W-194,Tech Workforce,Weekly tech churn rate (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,83.0,Yellow,Investigate moderate deviation.
W-195,Tech Workforce,Weekly training compliance % (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,65.7,Red,Escalate to owner agent; launch corrective playbook.
W-196,Tech Workforce,Weekly average earnings (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,123.0,Red,Escalate to owner agent; launch corrective playbook.
W-197,Tech Workforce,Weekly low earner count (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,111.8,Yellow,Investigate moderate deviation.
W-198,Tech Workforce,Weekly training compliance % (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,65.7,Red,Escalate to owner agent; launch corrective playbook.
W-199,Tech Workforce,Weekly mentor sessions (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,107.6,Green,Maintain course.
W-200,Tech Workforce,Weekly low earner count (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,115.1,Yellow,Investigate moderate deviation.
W-201,Tech Workforce,Weekly license renewal backlog (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,66.4,Red,Escalate to owner agent; launch corrective playbook.
W-202,Tech Workforce,Weekly OT uptake (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,62.1,Red,Escalate to owner agent; launch corrective playbook.
W-203,Tech Workforce,Weekly average earnings (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,140.0,Red,Escalate to owner agent; launch corrective playbook.
W-204,Tech Workforce,Weekly training compliance % (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,121.0,Red,Escalate to owner agent; launch corrective playbook.
W-205,Tech Workforce,Weekly mentor sessions (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,101.5,Green,Maintain course.
W-206,Tech Workforce,Weekly mentor sessions (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,110.8,Yellow,Investigate moderate deviation.
W-207,Tech Workforce,Weekly license renewal backlog (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,92.7,Green,Maintain course.
W-208,Tech Workforce,Weekly OT uptake (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,128.6,Red,Escalate to owner agent; launch corrective playbook.
W-209,Tech Workforce,Weekly OT uptake (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,115.5,Yellow,Investigate moderate deviation.
W-210,Governance & Risk,Weekly SOC2 control breach (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.1,Red,Escalate to owner agent; launch corrective playbook.
W-211,Governance & Risk,Weekly policy override count (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,67.0,Red,Escalate to owner agent; launch corrective playbook.
W-212,Governance & Risk,Weekly SOC2 control breach (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,69.3,Red,Escalate to owner agent; launch corrective playbook.
W-213,Governance & Risk,Weekly legal incident tickets (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,112.6,Yellow,Investigate moderate deviation.
W-214,Governance & Risk,Weekly vendor SLA violations (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,64.3,Red,Escalate to owner agent; launch corrective playbook.
W-215,Governance & Risk,Weekly guardrail trigger count (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,110.0,Green,Maintain course.
W-216,Governance & Risk,Weekly policy override count (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,81.4,Yellow,Investigate moderate deviation.
W-217,Governance & Risk,Weekly data privacy alerts (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,95.0,Green,Maintain course.
W-218,Governance & Risk,Weekly vendor SLA violations (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,62.3,Red,Escalate to owner agent; launch corrective playbook.
W-219,Governance & Risk,Weekly license expiries (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,84.9,Yellow,Investigate moderate deviation.
W-220,Governance & Risk,Weekly policy override count (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,67.5,Red,Escalate to owner agent; launch corrective playbook.
W-221,Governance & Risk,Weekly audit exceptions (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,135.8,Red,Escalate to owner agent; launch corrective playbook.
W-222,Governance & Risk,Weekly data privacy alerts (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,134.6,Red,Escalate to owner agent; launch corrective playbook.
W-223,Governance & Risk,Weekly SOC2 control breach (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,93.2,Green,Maintain course.
W-224,Governance & Risk,Weekly vendor SLA violations (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,79.5,Red,Escalate to owner agent; launch corrective playbook.
W-225,Governance & Risk,Weekly data privacy alerts (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,75.2,Red,Escalate to owner agent; launch corrective playbook.
W-226,Governance & Risk,Weekly data privacy alerts (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,82.1,Yellow,Investigate moderate deviation.
W-227,Governance & Risk,Weekly legal incident tickets (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,134.7,Red,Escalate to owner agent; launch corrective playbook.
W-228,Governance & Risk,Weekly SOC2 control breach (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,82.6,Yellow,Investigate moderate deviation.
W-229,Governance & Risk,Weekly SOC2 control breach (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,129.2,Red,Escalate to owner agent; launch corrective playbook.
W-230,Governance & Risk,Weekly guardrail trigger count (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,104.2,Green,Maintain course.
W-231,Governance & Risk,Weekly legal incident tickets (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,134.6,Red,Escalate to owner agent; launch corrective playbook.
W-232,Governance & Risk,Weekly license expiries (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,105.7,Green,Maintain course.
W-233,Governance & Risk,Weekly license expiries (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,63.5,Red,Escalate to owner agent; launch corrective playbook.
W-234,Governance & Risk,Weekly legal incident tickets (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,99.6,Green,Maintain course.
W-235,Governance & Risk,Weekly policy override count (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,100.2,Green,Maintain course.
W-236,Governance & Risk,Weekly guardrail trigger count (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,129.9,Red,Escalate to owner agent; launch corrective playbook.
W-237,Governance & Risk,Weekly vendor SLA violations (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,117.8,Yellow,Investigate moderate deviation.
W-238,Strategy & Growth,Weekly growth CAGR forecast (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,66.0,Red,Escalate to owner agent; launch corrective playbook.
W-239,Strategy & Growth,Weekly vertical TAM progress (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,109.9,Green,Maintain course.
W-240,Strategy & Growth,Weekly growth CAGR forecast (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,128.1,Red,Escalate to owner agent; launch corrective playbook.
W-241,Strategy & Growth,Weekly growth CAGR forecast (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,110.1,Yellow,Investigate moderate deviation.
W-242,Strategy & Growth,Weekly cash runway months (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,109.4,Green,Maintain course.
W-243,Strategy & Growth,Weekly channel portfolio mix (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,139.8,Red,Escalate to owner agent; launch corrective playbook.
W-244,Strategy & Growth,Weekly expansion payback months (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,138.3,Red,Escalate to owner agent; launch corrective playbook.
W-245,Strategy & Growth,Weekly expansion payback months (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,73.3,Red,Escalate to owner agent; launch corrective playbook.
W-246,Strategy & Growth,Weekly vertical TAM progress (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,63.7,Red,Escalate to owner agent; launch corrective playbook.
W-247,Strategy & Growth,Weekly market rank score (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,88.7,Yellow,Investigate moderate deviation.
W-248,Strategy & Growth,Weekly channel portfolio mix (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,105.3,Green,Maintain course.
W-249,Strategy & Growth,Weekly LTV/CAC ratio (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,74.0,Red,Escalate to owner agent; launch corrective playbook.
W-250,Strategy & Growth,Weekly growth CAGR forecast (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,99.8,Green,Maintain course.
W-251,Strategy & Growth,Weekly LTV/CAC ratio (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.9,Green,Maintain course.
W-252,Strategy & Growth,Weekly vertical TAM progress (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,80.4,Yellow,Investigate moderate deviation.
W-253,Strategy & Growth,Weekly market rank score (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,132.1,Red,Escalate to owner agent; launch corrective playbook.
W-254,Strategy & Growth,Weekly LTV/CAC ratio (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,95.3,Green,Maintain course.
W-255,Strategy & Growth,Weekly ROI on pilot metros (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,111.1,Yellow,Investigate moderate deviation.
W-256,Strategy & Growth,Weekly growth CAGR forecast (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.5,Green,Maintain course.
W-257,Strategy & Growth,Weekly vertical TAM progress (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,139.9,Red,Escalate to owner agent; launch corrective playbook.
W-258,Strategy & Growth,Weekly cash runway months (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,79.0,Red,Escalate to owner agent; launch corrective playbook.
W-259,Strategy & Growth,Weekly market rank score (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,132.8,Red,Escalate to owner agent; launch corrective playbook.
W-260,Strategy & Growth,Weekly cash runway months (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,122.1,Red,Escalate to owner agent; launch corrective playbook.
W-261,Strategy & Growth,Weekly channel portfolio mix (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,77.5,Red,Escalate to owner agent; launch corrective playbook.
W-262,Strategy & Growth,Weekly ROI on pilot metros (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,67.2,Red,Escalate to owner agent; launch corrective playbook.
W-263,Strategy & Growth,Weekly channel portfolio mix (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,122.9,Red,Escalate to owner agent; launch corrective playbook.
W-264,Strategy & Growth,Weekly LTV/CAC ratio (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,133.1,Red,Escalate to owner agent; launch corrective playbook.
W-265,Strategy & Growth,Weekly ROI on pilot metros (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,97.5,Green,Maintain course.
W-266,Experiments & R&D,Weekly significant experiment count (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,120.3,Red,Escalate to owner agent; launch corrective playbook.
W-267,Experiments & R&D,Weekly innovation velocity (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,137.4,Red,Escalate to owner agent; launch corrective playbook.
W-268,Experiments & R&D,Weekly time-to-market reduction (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,123.3,Red,Escalate to owner agent; launch corrective playbook.
W-269,Experiments & R&D,Weekly A/B test lift (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.9,Green,Maintain course.
W-270,Experiments & R&D,Weekly idea backlog burn (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,113.8,Yellow,Investigate moderate deviation.
W-271,Experiments & R&D,Weekly prototype success rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.8,Red,Escalate to owner agent; launch corrective playbook.
W-272,Experiments & R&D,Weekly innovation velocity (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,62.0,Red,Escalate to owner agent; launch corrective playbook.
W-273,Experiments & R&D,Weekly time-to-market reduction (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,111.8,Yellow,Investigate moderate deviation.
W-274,Experiments & R&D,Weekly idea backlog burn (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,111.9,Yellow,Investigate moderate deviation.
W-275,Experiments & R&D,Weekly A/B test lift (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,84.3,Yellow,Investigate moderate deviation.
W-276,Experiments & R&D,Weekly idea backlog burn (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,67.8,Red,Escalate to owner agent; launch corrective playbook.
W-277,Experiments & R&D,Weekly model drift score (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.3,Green,Maintain course.
W-278,Experiments & R&D,Weekly ML model retrain delta (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,130.8,Red,Escalate to owner agent; launch corrective playbook.
W-279,Experiments & R&D,Weekly significant experiment count (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,109.3,Green,Maintain course.
W-280,Experiments & R&D,Weekly prototype success rate (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,115.2,Yellow,Investigate moderate deviation.
W-281,Experiments & R&D,Weekly idea backlog burn (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,128.4,Red,Escalate to owner agent; launch corrective playbook.
W-282,Experiments & R&D,Weekly significant experiment count (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,103.6,Green,Maintain course.
W-283,Experiments & R&D,Weekly time-to-market reduction (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,91.9,Green,Maintain course.
W-284,Experiments & R&D,Weekly innovation velocity (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,135.9,Red,Escalate to owner agent; launch corrective playbook.
W-285,Experiments & R&D,Weekly innovation velocity (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,64.0,Red,Escalate to owner agent; launch corrective playbook.
W-286,Experiments & R&D,Weekly model drift score (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,65.5,Red,Escalate to owner agent; launch corrective playbook.
W-287,Experiments & R&D,Weekly innovation velocity (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.0,Red,Escalate to owner agent; launch corrective playbook.
W-288,Experiments & R&D,Weekly innovation velocity (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,121.9,Red,Escalate to owner agent; launch corrective playbook.
W-289,Experiments & R&D,Weekly model drift score (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,103.2,Green,Maintain course.
W-290,Experiments & R&D,Weekly model drift score (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,112.9,Yellow,Investigate moderate deviation.
W-291,Experiments & R&D,Weekly A/B test lift (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,61.2,Red,Escalate to owner agent; launch corrective playbook.
W-292,Experiments & R&D,Weekly significant experiment count (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,98.1,Green,Maintain course.
W-293,Experiments & R&D,Weekly idea backlog burn (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,64.9,Red,Escalate to owner agent; launch corrective playbook.
W-294,Marketing,Weekly referral traffic growth (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,94.1,Green,Maintain course.
W-295,Marketing,Weekly SEO click share (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,117.0,Yellow,Investigate moderate deviation.
W-296,Marketing,Weekly referral traffic growth (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,131.9,Red,Escalate to owner agent; launch corrective playbook.
W-297,Marketing,Weekly brand share of voice (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,65.3,Red,Escalate to owner agent; launch corrective playbook.
W-298,Marketing,Weekly paid search impression share (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,90.5,Green,Maintain course.
W-299,Marketing,Weekly paid search impression share (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,100.4,Green,Maintain course.
W-300,Marketing,Weekly G-Maps review volume (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,123.4,Red,Escalate to owner agent; launch corrective playbook.
W-301,Marketing,Weekly SEO click share (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,94.4,Green,Maintain course.
W-302,Marketing,Weekly display ad reach (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,87.1,Yellow,Investigate moderate deviation.
W-303,Marketing,Weekly brand share of voice (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,85.0,Yellow,Investigate moderate deviation.
W-304,Marketing,Weekly upsell email conv. (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,65.4,Red,Escalate to owner agent; launch corrective playbook.
W-305,Marketing,Weekly SEO click share (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,94.6,Green,Maintain course.
W-306,Marketing,Weekly influencer bookings (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,113.6,Yellow,Investigate moderate deviation.
W-307,Marketing,Weekly G-Maps review volume (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,129.9,Red,Escalate to owner agent; launch corrective playbook.
W-308,Marketing,Weekly G-Maps review volume (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,137.5,Red,Escalate to owner agent; launch corrective playbook.
W-309,Marketing,Weekly display ad reach (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,88.0,Yellow,Investigate moderate deviation.
W-310,Marketing,Weekly brand share of voice (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,121.0,Red,Escalate to owner agent; launch corrective playbook.
W-311,Marketing,Weekly influencer bookings (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,62.3,Red,Escalate to owner agent; launch corrective playbook.
W-312,Marketing,Weekly paid search impression share (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,133.7,Red,Escalate to owner agent; launch corrective playbook.
W-313,Marketing,Weekly brand share of voice (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,74.5,Red,Escalate to owner agent; launch corrective playbook.
W-314,Marketing,Weekly upsell email conv. (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,65.6,Red,Escalate to owner agent; launch corrective playbook.
W-315,Marketing,Weekly influencer bookings (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,119.7,Yellow,Investigate moderate deviation.
W-316,Marketing,Weekly G-Maps review volume (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,87.3,Yellow,Investigate moderate deviation.
W-317,Marketing,Weekly brand share of voice (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,117.7,Yellow,Investigate moderate deviation.
W-318,Marketing,Weekly SEO click share (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,72.4,Red,Escalate to owner agent; launch corrective playbook.
W-319,Marketing,Weekly paid search impression share (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,120.4,Red,Escalate to owner agent; launch corrective playbook.
W-320,Marketing,Weekly SEO click share (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,94.4,Green,Maintain course.
W-321,Marketing,Weekly paid search impression share (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,77.6,Red,Escalate to owner agent; launch corrective playbook.
W-322,Communications,Weekly SMS delivery success (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,76.4,Red,Escalate to owner agent; launch corrective playbook.
W-323,Communications,Weekly survey send rate (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,121.1,Red,Escalate to owner agent; launch corrective playbook.
W-324,Communications,Weekly IVR abandon rate (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,69.6,Red,Escalate to owner agent; launch corrective playbook.
W-325,Communications,Weekly communication SLA adherence (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,74.1,Red,Escalate to owner agent; launch corrective playbook.
W-326,Communications,Weekly callback queue length (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,100.0,Green,Maintain course.
W-327,Communications,Weekly ETA email open rate (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,91.8,Green,Maintain course.
W-328,Communications,Weekly SMS delivery success (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,61.5,Red,Escalate to owner agent; launch corrective playbook.
W-329,Communications,Weekly chatbot response time (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,106.1,Green,Maintain course.
W-330,Communications,Weekly callback queue length (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,83.2,Yellow,Investigate moderate deviation.
W-331,Communications,Weekly callback queue length (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,137.3,Red,Escalate to owner agent; launch corrective playbook.
W-332,Communications,Weekly negative sentiment msgs (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,126.6,Red,Escalate to owner agent; launch corrective playbook.
W-333,Communications,Weekly callback queue length (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,79.5,Red,Escalate to owner agent; launch corrective playbook.
W-334,Communications,Weekly callback queue length (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,119.7,Yellow,Investigate moderate deviation.
W-335,Communications,Weekly survey send rate (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,122.3,Red,Escalate to owner agent; launch corrective playbook.
W-336,Communications,Weekly chatbot response time (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.4,Green,Maintain course.
W-337,Communications,Weekly ETA email open rate (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,78.9,Red,Escalate to owner agent; launch corrective playbook.
W-338,Communications,Weekly negative sentiment msgs (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,75.8,Red,Escalate to owner agent; launch corrective playbook.
W-339,Communications,Weekly negative sentiment msgs (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,74.2,Red,Escalate to owner agent; launch corrective playbook.
W-340,Communications,Weekly communication SLA adherence (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,120.4,Red,Escalate to owner agent; launch corrective playbook.
W-341,Communications,Weekly communication SLA adherence (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,129.1,Red,Escalate to owner agent; launch corrective playbook.
W-342,Communications,Weekly communication SLA adherence (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,97.5,Green,Maintain course.
W-343,Communications,Weekly IVR abandon rate (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,107.3,Green,Maintain course.
W-344,Communications,Weekly IVR abandon rate (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.2,Green,Maintain course.
W-345,Communications,Weekly SMS delivery success (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,126.5,Red,Escalate to owner agent; launch corrective playbook.
W-346,Communications,Weekly callback queue length (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,106.4,Green,Maintain course.
W-347,Communications,Weekly SMS delivery success (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,132.7,Red,Escalate to owner agent; launch corrective playbook.
W-348,Communications,Weekly communication SLA adherence (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,136.6,Red,Escalate to owner agent; launch corrective playbook.
W-349,Communications,Weekly negative sentiment msgs (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,79.8,Red,Escalate to owner agent; launch corrective playbook.
W-350,Claims Management,Weekly vendor claim breach (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,101.9,Green,Maintain course.
W-351,Claims Management,Weekly open claim backlog (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,89.8,Yellow,Investigate moderate deviation.
W-352,Claims Management,Weekly reversal rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,92.7,Green,Maintain course.
W-353,Claims Management,Weekly fraud flag count (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,123.1,Red,Escalate to owner agent; launch corrective playbook.
W-354,Claims Management,Weekly fraud flag count (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,86.4,Yellow,Investigate moderate deviation.
W-355,Claims Management,Weekly subrogation recovery % (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,80.2,Yellow,Investigate moderate deviation.
W-356,Claims Management,Weekly denial rate (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,133.3,Red,Escalate to owner agent; launch corrective playbook.
W-357,Claims Management,Weekly open claim backlog (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,84.8,Yellow,Investigate moderate deviation.
W-358,Claims Management,Weekly subrogation recovery % (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.1,Red,Escalate to owner agent; launch corrective playbook.
W-359,Claims Management,Weekly denial rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,100.7,Green,Maintain course.
W-360,Claims Management,Weekly claim approval time (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,84.7,Yellow,Investigate moderate deviation.
W-361,Claims Management,Weekly average payout (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,135.8,Red,Escalate to owner agent; launch corrective playbook.
W-362,Claims Management,Weekly vendor claim breach (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,78.1,Red,Escalate to owner agent; launch corrective playbook.
W-363,Claims Management,Weekly open claim backlog (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,66.2,Red,Escalate to owner agent; launch corrective playbook.
W-364,Claims Management,Weekly denial rate (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,113.0,Yellow,Investigate moderate deviation.
W-365,Claims Management,Weekly open claim backlog (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,72.3,Red,Escalate to owner agent; launch corrective playbook.
W-366,Claims Management,Weekly vendor claim breach (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,92.9,Green,Maintain course.
